,0
LAND SQUARE FEET,0.02482472724251765
GROSS SQUARE FEET,0.8467715663474592
YEAR BUILT,0.03003799837408956
PROPERTY TYPE_Condo,1.1884489373589005e-05
PROPERTY TYPE_Coop,0.008724816535106495
PROPERTY TYPE_Land,2.380311057862148e-05
PROPERTY TYPE_MultiFamily,5.490247359015852e-05
PROPERTY TYPE_Rental,0.00608569961467677
PROPERTY TYPE_SingleFamily,0.0003759304864918797
NEW HOMES_Yes,0.00022690617357842504
LARGE HOMES_Yes,0.0009970056283878455
BOROUGH_2,0.0009318373598369996
BOROUGH_3,0.0008078803111488804
BOROUGH_4,0.0006384405433857773
BOROUGH_5,8.305314335244994e-05
NEIGHBORHOOD_AIRPORT LA GUARDIA,2.150352623019568e-08
NEIGHBORHOOD_AIRPORT LA GUARDIA       ,2.107541685107838e-09
NEIGHBORHOOD_ALPHABET CITY,2.3080554081659758e-05
NEIGHBORHOOD_ALPHABET CITY            ,7.297637737731925e-05
NEIGHBORHOOD_ANNADALE,2.1080505300324717e-07
NEIGHBORHOOD_ANNADALE                 ,3.730571346079416e-07
NEIGHBORHOOD_ARDEN HEIGHTS,1.3883859208649262e-07
NEIGHBORHOOD_ARDEN HEIGHTS            ,9.878508211484467e-07
NEIGHBORHOOD_ARROCHAR,4.900306691303514e-08
NEIGHBORHOOD_ARROCHAR                 ,4.8857411765474203e-08
NEIGHBORHOOD_ARROCHAR-SHORE ACRES,1.4538442196530197e-08
NEIGHBORHOOD_ARROCHAR-SHORE ACRES     ,1.5528554586402742e-08
NEIGHBORHOOD_ARVERNE,6.929189524196331e-07
NEIGHBORHOOD_ARVERNE                  ,1.2642982314680763e-06
NEIGHBORHOOD_ASTORIA,4.719486295299131e-05
NEIGHBORHOOD_ASTORIA                  ,0.00012261354072434105
NEIGHBORHOOD_BATH BEACH,1.4225125504984926e-06
NEIGHBORHOOD_BATH BEACH               ,1.0670409670579042e-05
NEIGHBORHOOD_BATHGATE,1.5939880195406287e-06
NEIGHBORHOOD_BATHGATE                 ,1.265822323629438e-06
NEIGHBORHOOD_BAY RIDGE,5.518162134682344e-06
NEIGHBORHOOD_BAY RIDGE                ,6.549289936828297e-06
NEIGHBORHOOD_BAYCHESTER,1.6692428372351126e-07
NEIGHBORHOOD_BAYCHESTER               ,2.303732019040834e-05
NEIGHBORHOOD_BAYSIDE,4.4888960592551845e-06
NEIGHBORHOOD_BAYSIDE                  ,1.2128576323884892e-06
NEIGHBORHOOD_BEDFORD PARK/NORWOOD,7.933371905116732e-06
NEIGHBORHOOD_BEDFORD PARK/NORWOOD     ,4.38723649142019e-06
NEIGHBORHOOD_BEDFORD STUYVESANT,2.4464737173074873e-05
NEIGHBORHOOD_BEDFORD STUYVESANT       ,2.0142453727244393e-05
NEIGHBORHOOD_BEECHHURST,4.083862360119357e-07
NEIGHBORHOOD_BEECHHURST               ,7.295715614673675e-07
NEIGHBORHOOD_BELLE HARBOR,2.678546254749814e-07
NEIGHBORHOOD_BELLE HARBOR             ,3.331153677543487e-07
NEIGHBORHOOD_BELLEROSE,6.201799142118852e-08
NEIGHBORHOOD_BELLEROSE                ,2.7114937639426885e-07
NEIGHBORHOOD_BELMONT,1.3202313773990011e-05
NEIGHBORHOOD_BELMONT                  ,1.8613094763673401e-06
NEIGHBORHOOD_BENSONHURST,4.61565091707468e-06
NEIGHBORHOOD_BENSONHURST              ,1.1189436924908851e-06
NEIGHBORHOOD_BERGEN BEACH,1.1326119606421703e-07
NEIGHBORHOOD_BERGEN BEACH             ,3.7115414347231443e-06
NEIGHBORHOOD_BLOOMFIELD,2.0263647329794663e-06
NEIGHBORHOOD_BLOOMFIELD               ,1.9547354537071094e-08
NEIGHBORHOOD_BOERUM HILL,8.22022687983892e-06
NEIGHBORHOOD_BOERUM HILL              ,1.881569555737169e-05
NEIGHBORHOOD_BOROUGH PARK,1.2768050967865948e-05
NEIGHBORHOOD_BOROUGH PARK             ,4.96671231924589e-06
NEIGHBORHOOD_BREEZY POINT,7.765742465364388e-09
NEIGHBORHOOD_BREEZY POINT             ,3.1847177424694615e-11
NEIGHBORHOOD_BRIARWOOD,4.820696822142552e-07
NEIGHBORHOOD_BRIARWOOD                ,4.126732723025637e-06
NEIGHBORHOOD_BRIGHTON BEACH,7.10990330865508e-07
NEIGHBORHOOD_BRIGHTON BEACH           ,1.0090825922922996e-05
NEIGHBORHOOD_BROAD CHANNEL,1.2491610768889845e-08
NEIGHBORHOOD_BROAD CHANNEL            ,4.131861777617815e-08
NEIGHBORHOOD_BRONX PARK,2.5712482235878903e-11
NEIGHBORHOOD_BRONX PARK               ,9.725716350133574e-08
NEIGHBORHOOD_BRONX-UNKNOWN            ,2.1977687555833806e-09
NEIGHBORHOOD_BRONXDALE,5.813507213211992e-06
NEIGHBORHOOD_BRONXDALE                ,8.013205358125529e-06
NEIGHBORHOOD_BROOKLYN HEIGHTS,3.177054761880535e-05
NEIGHBORHOOD_BROOKLYN HEIGHTS         ,2.895376475501788e-05
NEIGHBORHOOD_BROOKLYN-UNKNOWN         ,8.912214903712183e-07
NEIGHBORHOOD_BROWNSVILLE,1.0023322407815494e-05
NEIGHBORHOOD_BROWNSVILLE              ,1.0230998976964196e-06
NEIGHBORHOOD_BULLS HEAD,1.375821392824507e-07
NEIGHBORHOOD_BULLS HEAD               ,1.592816475247319e-06
NEIGHBORHOOD_BUSH TERMINAL,3.4647281647159613e-07
NEIGHBORHOOD_BUSH TERMINAL            ,2.1397928319262573e-07
NEIGHBORHOOD_BUSHWICK,1.7562913029309325e-05
NEIGHBORHOOD_BUSHWICK                 ,1.543460754170634e-05
NEIGHBORHOOD_CAMBRIA HEIGHTS,7.571295606375165e-08
NEIGHBORHOOD_CAMBRIA HEIGHTS          ,2.1932116169613796e-07
NEIGHBORHOOD_CANARSIE,2.3286367773256024e-06
NEIGHBORHOOD_CANARSIE                 ,2.735992699517604e-06
NEIGHBORHOOD_CARROLL GARDENS,6.091305152159597e-06
NEIGHBORHOOD_CARROLL GARDENS          ,3.012638142258115e-05
NEIGHBORHOOD_CASTLE HILL/UNIONPORT,3.348180563705038e-05
NEIGHBORHOOD_CASTLE HILL/UNIONPORT    ,6.907227703063476e-06
NEIGHBORHOOD_CASTLETON CORNERS,1.1700122326480406e-07
NEIGHBORHOOD_CASTLETON CORNERS        ,1.0588891646478013e-06
NEIGHBORHOOD_CHELSEA,7.836935772982365e-05
NEIGHBORHOOD_CHELSEA                  ,0.000467963742367076
NEIGHBORHOOD_CHINATOWN,2.8892233453929284e-05
NEIGHBORHOOD_CHINATOWN                ,2.8615480308603623e-05
NEIGHBORHOOD_CITY ISLAND,4.41267500041842e-08
NEIGHBORHOOD_CITY ISLAND              ,1.7426623854113163e-07
NEIGHBORHOOD_CITY ISLAND-PELHAM STRIP ,1.3101116419896864e-07
NEIGHBORHOOD_CIVIC CENTER,0.00010327211798067042
NEIGHBORHOOD_CIVIC CENTER             ,3.914616467356432e-05
NEIGHBORHOOD_CLINTON,1.1174928256365996e-05
NEIGHBORHOOD_CLINTON                  ,0.00026047244987129265
NEIGHBORHOOD_CLINTON HILL,1.7727289277203477e-05
NEIGHBORHOOD_CLINTON HILL             ,5.41998269895742e-05
NEIGHBORHOOD_CLOVE LAKES,9.500747009279153e-08
NEIGHBORHOOD_CLOVE LAKES              ,1.134266176837991e-07
NEIGHBORHOOD_CO-OP CITY,2.186987243565058e-11
NEIGHBORHOOD_CO-OP CITY               ,1.84929217245961e-09
NEIGHBORHOOD_COBBLE HILL,9.436660197128017e-06
NEIGHBORHOOD_COBBLE HILL              ,1.956925968249425e-06
NEIGHBORHOOD_COBBLE HILL-WEST,4.081021342355027e-07
NEIGHBORHOOD_COBBLE HILL-WEST         ,1.4761317321198088e-06
NEIGHBORHOOD_COLLEGE POINT,9.775707205300961e-07
NEIGHBORHOOD_COLLEGE POINT            ,4.076372739632922e-07
NEIGHBORHOOD_CONCORD,4.389234187860242e-08
NEIGHBORHOOD_CONCORD                  ,8.652809598160831e-07
NEIGHBORHOOD_CONCORD-FOX HILLS,1.0068638456576928e-08
NEIGHBORHOOD_CONCORD-FOX HILLS        ,8.134393469448062e-06
NEIGHBORHOOD_CONEY ISLAND,2.910253921839082e-07
NEIGHBORHOOD_CONEY ISLAND             ,1.9187952745284577e-05
NEIGHBORHOOD_CORONA,1.8258602891321223e-06
NEIGHBORHOOD_CORONA                   ,1.5941085763012093e-06
NEIGHBORHOOD_COUNTRY CLUB,1.3418145571858354e-07
NEIGHBORHOOD_COUNTRY CLUB             ,1.5185410367322113e-07
NEIGHBORHOOD_CROTONA PARK,1.2759304653542036e-07
NEIGHBORHOOD_CROTONA PARK             ,6.051918142612012e-05
NEIGHBORHOOD_CROWN HEIGHTS,2.851122538444854e-05
NEIGHBORHOOD_CROWN HEIGHTS            ,1.3536000737670815e-05
NEIGHBORHOOD_CYPRESS HILLS,5.046199002063031e-07
NEIGHBORHOOD_CYPRESS HILLS            ,3.7613604352099425e-06
NEIGHBORHOOD_DONGAN HILLS,1.4382304559838765e-07
NEIGHBORHOOD_DONGAN HILLS             ,4.5853613497480827e-07
NEIGHBORHOOD_DONGAN HILLS-COLONY,1.806414281356071e-07
NEIGHBORHOOD_DONGAN HILLS-COLONY      ,1.4075050754208793e-07
NEIGHBORHOOD_DONGAN HILLS-OLD TOWN,1.0571548820084381e-07
NEIGHBORHOOD_DONGAN HILLS-OLD TOWN    ,5.622950707357505e-09
NEIGHBORHOOD_DOUGLASTON,2.969413435525708e-07
NEIGHBORHOOD_DOUGLASTON               ,9.280335051453365e-07
NEIGHBORHOOD_DOWNTOWN-FULTON FERRY,7.326854989433125e-06
NEIGHBORHOOD_DOWNTOWN-FULTON FERRY    ,2.1200982927212188e-05
NEIGHBORHOOD_DOWNTOWN-FULTON MALL,2.5741000909630017e-06
NEIGHBORHOOD_DOWNTOWN-FULTON MALL     ,3.14796218147983e-05
NEIGHBORHOOD_DOWNTOWN-METROTECH,4.952415770992547e-06
NEIGHBORHOOD_DOWNTOWN-METROTECH       ,3.681249495569993e-06
